SPY
QQQ
AMZN
TSLA
DIS
WMT
COST
MSFT
ADBE
GOOG
FB
NVDA
NFLX
DOCU
CRWD
SPGI
GS
BAC
COF
SQ
MA
ISRG
ILMN
BSX
NOC
RTN
GD
TXT
PLTR
GE
FDX
BKR
