AAL
AAPL
ABMD
ABNB
ABT
ACIA
ADBE
ADI
AI
AIR
AJRD
AMAT
AMD
AMT
AMZN
ANGO
APPF
ASML
ATRC
ATVI
AVAV
AVGO
AVLR
AXGN
AXNX
AXON
AYX
BA
BABA
BAC
BAX
BB
BDX
BIIB
BILL
BIO
BKNG
BMY
BNFT
BRKR
BRKS
BSX
BWXT
BYND
CALX
CCMP
CDAY
CHTR
CHWY
CMCSA
CMD
CNMD
COST
COUP
CREE
CRM
CRNC
CRWD
CRY
CSCO
CSII
CTXS
CUB
CW
CYRX
DASH
DBX
DCO
DDD
DDOG
DELL
DHR
DIS
DKNG
DOCU
DOMO
DT
DXCM
EA
EBAY
EGHT
ENPH
ENTG
ESTC
ETSY
EW
FB
FIS
FISV
FSLY
FTNT
FUBO
FVRR
GD
GILD
GKOS
GLUU
GMED
GNMK
GOOG
GPN
GRUB
GS
GSX
GWRE
HEI
HII
HOLX
HPQ
HRC
HSKA
HUBS
HWM
HXL
IART
IDXX
ILMN
INGN
INTC
INTU
IPHI
IRBT
IRTC
ISRG
ITGR
JD
JNPR
KAMN
KLAC
KTOS
LHX
LIVN
LMAT
LMT
LRCX
LSCC
LYFT
MA
MASI
MAXR
MCFE
MCHP
MDB
MDT
MKSI
MLAB
MOG.A
MPWR
MRCY
MRK
MRNA
MRVL
MSFT
MTCH
MU
NARI
NET
NEWR
NFLX
NIO
NLS
NOC
NOW
NPK
NSTG
NTUS
NUVA
NVCR
NVDA
NVRO
NVST
NXPI
OFIX
OKTA
ON
ORCL
PAE
PANW
PAYC
PEN
PING
PODD
PSN
PTON
PYPL
QCOM
QRVO
QS
REAL
REGN
RMD
RNG
ROKU
RTX
RXT
SCWX
SE
SFIX
SHOP
SLAB
SMAR
SNAP
SNCR
SNOW
SPCE
SPGI
SPLK
SPOT
SPR
SPWR
SQ
SRDX
SSYS
STAA
STE
STMP
SWAV
SWKS
SYK
TCMD
TDC
TDG
TDY
TEAM
TENB
TER
TFX
TGI
TME
TMO
TMUS
TNDM
TSLA
TSM
TTD
TTWO
TWLO
TWTR
TXN
TXT
U
UPS
V
VAPO
VAR
VEC
VEEV
VG
VIAC
VMW
VNET
VREX
VRTX
W
WAT
WDAY
WIX
WMT
WORK
XENT
XLNX
YELP
ZBH
ZEN
ZG
ZM
ZNGA
ZS
