AAL
AAPL
ABNB
ACIA
ADBE
ADI
AI
AMAT
AMD
AMT
AMZN
APPF
ASML
ATVI
AVLR
AYX
BA
BABA
BAC
BB
BDX
BIIB
BILL
BKNG
BMY
BNFT
BYND
CDAY
CHTR
CHWY
CMCSA
COST
COUP
CRM
CRNC
CRWD
CSCO
CTXS
DASH
DBX
DDD
DDOG
DELL
DHR
DIS
DKNG
DOCU
DOMO
DT
EA
EBAY
EGHT
ENPH
ESTC
ETSY
FB
FIS
FISV
FSLY
FTNT
FUBO
FVRR
GD
GILD
GLUU
GOOG
GPN
GRUB
GS
GSX
GWRE
HPQ
HUBS
ILMN
INTC
INTU
IRBT
ISRG
JD
JNPR
LMT
LRCX
LYFT
MA
MCFE
MCHP
MDB
MDT
MRK
MRNA
MRVL
MSFT
MTCH
MU
NET
NEWR
NFLX
NIO
NLS
NOC
NOW
NVDA
OKTA
ON
ORCL
PANW
PAYC
PING
PTON
PYPL
QS
REAL
REGN
RNG
ROKU
RXT
SCWX
SE
SFIX
SHOP
SMAR
SNAP
SNCR
SNOW
SPGI
SPLK
SPOT
SPWR
SQ
SSYS
STMP
SWKS
SYK
TDC
TEAM
TENB
TME
TMO
TMUS
TSLA
TSM
TTD
TTWO
TWLO
TWTR
U
UPS
V
VEEV
VG
VIAC
VMW
VNET
VRTX
W
WDAY
WIX
WMT
WORK
YELP
ZEN
ZG
ZM
ZNGA
ZS
