Ticker
ADBE
AMD
AMZN
APPF
AYX
BOX
COUP
CRM
CRWD
DOCU
DOMO
ESTC
FIVN
GWRE
HUBS
INTU
MDB
MSFT
NEWR
NOW
NVDA
OKTA
ORCL
PD
PLAN
PRO
QLYS
RNG
SAP
SMAR
SPLK
TEAM
TWLO
VMW
WDAY
WK
ZEN
ZM
ZS
ZUO
